,id,text,label,misogyny_category,target
2895,2278,@perradesatan @iamjoseAM Pues tengo todo el día del señor libre. Y como tú eres una perra del ángel caído he pensado que podíamos hacerlo frente a una iglesia.,1,sexual_harassment,active
965,659,@MirandaLanda22 Ya callate pinche puta y celebra la navidad hija de perra,1,dominance,active
569,1118,@TowandaRebels esto pasa cuando no tienes ni puta idea de lo que hablas y pretendes ir de moderna y salvadora de las prostitutas y te pegan un zasca espectacular #HolaAbolicionista,0,0,0
216,2848,"Me voy a meter en un tema delicado pero ya fue, para mi si una mujer es 'puta' no está mal mientras no hiera a nadie, si es soltera y le gusta estar con 20 chabones diferentes solteros, todo bien, es diferente cuando se hiere a otra persona,tanto su pareja como la pareja del otro",0,0,0
2254,1442,QUE OS FOLLEN A TODOS VEO PORNO EN MI CASA Y ME JALO EL GANSO CON UN MONTON DE VIEJAS Y MI NOVIA ES UNA GUARRA,1,sexual_harassment,passive
3048,2282,"Hijo de tu puta madre, eres un pesado callate ya. https://t.co/QBtbRVJa14",0,0,0
745,2337,@MashiRafael Vergüenza mundial dan ! Ratas! 🐀 y vos correa hijo de puta no te mereces la ciudadanía ecuatoriana igual q ese Jorge Glas! Repudio total a la mañoseria y caretucada de tu gobierno!,0,0,0
912,2606,"Raoul no se merece estar nominado, se merecia estarlo la semana pasada y hoy en la puta calle, gracias. #OTgala7 #OTDirecto11D",0,0,0
2935,2671,Ej2: es que es bien puta anda enseñando su cuerpo y eso en que le ayuda a ser feminista?,1,discredit,active
324,1146,#YuriIsOverParty @OficialYuri te lo merecias muchisimo zorra https://t.co/VGRnNyWa8s,1,discredit,active
728,3330,@PabloAlgeo Cállate la concha de tu hermana puta,1,discredit,active
2368,812,Gracias a dios mis papas me enseñaron hablar bastante bien y no ando por la calle gritandome puta con 'amigas' 😊,0,0,0
597,366,@antu_cerevin @BornetVane Callate perra jajajajajajajajajaja,1,dominance,active
382,1404,"POR QUÉ PUTA MADRE HACKEAN Y LE SACAN EL FOLLOW DE JOEL A PERSONAS QUE SI SE ESFORZARON Y SE LO MERECÍAN , POR QUE NO VAN Y LE HACKEAN A OTRA PERSONA ?? a las interesadas, a ellas",0,0,0
165,7,"L- El mejor luegar para tener mi polla ahora mismo es en la garganta de Wicca, llenándome de babas",1,sexual_harassment,active
1514,1369,"Te gustaría participar en una peli porno? buscamos tu perfil, una tia guarra con ojos bonitos y no muy guapa — Hostia, no te has esforzado mucho, sigue intentándolo https://t.co/A8pnVpXQhT",0,0,0
1653,761,"Esto me ha llamado gilipollas. Tu eres una guarra, pero eh, sin acritud https://t.co/6XwgZu20wn",1,discredit,active
91,1811,"@SombriXX @aixiNOOO @InesArrimadas Callaté perra, que es la cuenta B de arrimadas?? 😱😱",1,discredit,active
2216,1948,"@NataliPalmier ups cállate maldita perra, manchas mi reputación",1,discredit,active
171,2577,LA PUTA MADRE POR QUE TÚ ERES MAJA Y LA MIERDA DE TU PERSONAJE NO ME TIENES HARTO https://t.co/Kn3gGE25gJ,1,discredit,active
2845,1868,@MaiiiiraIb 😱 noo callate perra que estoy buscando algo para poder dormir jajaj,1,stereotype,passive
838,2560,@eldestapeweb VAGO HIJO DE PUTA. ALGUIEN SE TIENE QUE VENGAR DE VOS. TENES QUE PAGAR TODAS UNA POR UNA. MERECES LO PEOR,0,0,0
