id,text,label
1661,Se habla mucho del debate de anoche. ¿Podría SEMEN algún día participar en la política? http://t.co/CAyIM7lw3X,non-sexist
1034,@ash_london mas odio asi ti aunque intentes ignorarlo hija de fruta te metiste con nuestro bebé ahora jodete perra y deja tu hipocresía,discredit
2975,"Tú... tú eres una puta, una puta una puta y una putaaaaaaa.",discredit
537,@g23_o Cállate perra de Twitter,dominance
2104,@Incoontinencia Que va!! Si mujer es más puta que Rita!!,discredit
2081,"Y para peor se pelean entre ellas por estar en dos fandoms, ¿qué tiene de malo, ridículas? ¡Déjenlas, es su puta vida para qué decían lo que quieran hacer! #iHeartAwards #BestBoyBand #BTS @bts_twt",discredit
116,1-Acoso no es abuso ni violación 2-Naturalizar un acoso como si nada sin mediar palabra que retracte conductas no está ni un poco bueno,non-sexist
342,CALLATE GUARRA https://t.co/sNQF9mdeyG,dominance
1125,No voy a llorar y decir que no merezco esto porque es probable que lo merezcaPOR ZORRA,non-sexist
2503,Cepeda es el que peor lo hace de toda la puta academia. Hace muchas semanas que merecía estar fuera.,non-sexist
2947,@chrisdielshines @dimelozabdi_ Vos sos la puta ama callate,dominance
2474,@_Martinowo_ Cállate tonto pasemos un buen año que seguro que nos va de puta madre hazte caso,non-sexist
1708,@Relatofeminista Mucho imbécil suelto por el mundo.,non-sexist
2675,Hay muchos votantes de Cambiemos q de chicos parece q no les enseñaron q ser hijos de puta esta mal https://t.co/mrJEAFymx1,non-sexist
247,"@VidalSieteDiez Tú eres la perra, no te dejes engañar.",discredit
1237,@pilarbertolo @el_pais Porque no tiene la menor empatía con víctimas de acoso ni de violación y porque defiende un derecho autoinventado del hombre de hacer con las mujeres lo que les dé la gana.,sexual_harassment
2837,"@chechechacon @ElardMelgarV Y tu prosesada hija de PUTA, Callate,fujimoristas de mrd nunca Mas.",discredit
3037,Iros a la PUTA MIERDA Mireya se merecía más quedarse #OTGala7,non-sexist
2720,Lo único que debe votar una mujer son sus tetas cuando hacen deporte. #GravedadAnteTodo,discredit
1904,@Rayados Cállate a la verga pinche puerca tú eres Tigres puta,discredit
2896,@OficialYuri De hecho Dios vomita a los tibios. Y tu eres tibia. Hipócrita. Puta a escondidas. Doble moral. Ya estas vomitada https://t.co/noOHOXP11u,discredit
281,@anaisbernal Merecían que se le cortase la polla a él y al juez que dictó su inocencia ...y los abogados que asumieron su defensa al horno con sus huevos el la boca 😡😡😡,non-sexist
2655,"Que bien se siente flamear, se lo merecía la hija de re mil puta",discredit
1615,"Cuarto. Tienes 13/14 años ¿por qué aún piensas de esa forma? DEJA DE PENSAR QUE UNA MUJER ES UNA GUARRA POR ENSEÑAR SU CUERPO. Empieza a echar cabeza cielo, porque el mundo se te come.",non-sexist
3204,@Candee_765 Callate que las dos roncan como hijas de puta,discredit
2135,"Hola mi ex es una puta loca de la cabeza y tú eres un puta porque no quisiste estar conmigo y cuando te vea te voy a faltar el respeto en tu cara porque yo soy muy bueno, me pasan estas cosas en la vida de bueno que soy.",discredit
706,"@alvaro_delgado @NegroMontesMX @ManceraMiguelMX 'operativo'??? Eso es acoso, prepotencia y violacion a derechos civiles. Esos sujetos que fungen como policía son para secuestrar.",non-sexist
1627,"@diarioshow @soymajulozano Otraaaa más !! Pero no tienen otra cosa que contar ?? Acoso, violacion , manoseo....me tocó el culo....mi Dios ....ya ni el cuco les cree",non-sexist
3279,@trujeflowers Cállate zorra jajaja,dominance
2124,"Ramos es lo peor y todavía se queja el gran hijo de puta, se merecía la roja por cerdo.",non-sexist
2041,"@TiaFeminazi Y lo que no es la voz, ¿Eh? ¡Movimiento SEMEN!",non-sexist
2249,Inés arrimadas cállate la puta boca de una vez me dijo el mundo estaba kung fu bailando,dominance
1279,"Perra, pero callada, me gusta.",discredit
1141,Tengo una memoria de puta madre para tonterías tipo acordarme de los libros mangas etc de cualquier mierda que pase. Pero después siempre me olvidó de las cosas que no son esas en 5 minutos,non-sexist
