id,text,label
1,Módulo 01 Invitados Directivos del Sindicato 'Mariano Otero' Tema: 'Mobbing o Acoso Laboral y Violacion a... https://t.co/xyHv9Inct3,non-sexist
2,"@Causafiebres Claro, es que ha puesto imbécil y muchas se han dado por aludidas, por eso ahora están con ella a acoso y derribo.",non-sexist
3,"@Nanchinho A ver si haces algo que sirva para mejorar el mundo, hija de puta @barbijaputa",discredit
4,"@Rafhyta86 @ElDesmadre__ Habe pasame el video donde adan diga puta a las mujeres sevillistas...'MI NOVIA ES SEVILLISTA',no dice TODAS LAS SEVILLISTAS.",discredit
5,@Otb_35 Que te calles so guarra.,dominance
6,Quiero pegarte pq estás bien imbécil y después darte un besito. 🙂,non-sexist
7,"L- El mejor luegar para tener mi polla ahora mismo es en la garganta de Wicca, llenándome de babas",sexual_harassment
8,"@AngeAlvarez7 Callate perra, re despierta estoy",dominance
9,@PoderFeminazi Eso es! Cojones!,non-sexist
10,@ian_delaCalva @IrantzuVarela @pikaramagazine Oye por qué no molestas a tu puta madre?,discredit
11,-Mujer: Bésame una vez y te pertenecere para siempre? -Hombre: Ostia! Gracias por la advertencia!,stereotype
12,"Miss perra: Valentinaaa amo mucho tu icon y header son re lindos,te mereces todo con tus ídolos y te mereces tanto abrazar a camila & ariana *al igual que todos tus ídolos*tu cuenta en general es perfecta y una de mis favoritas, eres una personita muy especial para mi+",non-sexist
13,@EdiiXI @lidiahdlgo Cállate tu !! Perra,dominance
14,"@LeticiaDolera Y digo yo... si se pretende dar un mensaje puramente político, por qué no se lo escriben a un tío en la polla 😒😒",non-sexist
15,NINGUNA MUJER ES 'PUTA' ❗❗❗ https://t.co/cV0CQM5RIg,non-sexist
16,"@JeronimoWEB @Zurine3 @Juliotrumpet Es preocupante que todas las fantasías sean hacernos daños y follarte a tu hija, yo me lo miraría",sexual_harassment
17,"Editar, además de complicado, es lo que hace de algo que merezca la pena o no, porque puedes haber grabado la puta hostia de planos, que si no los montas bien, con un sentido y los maquillas atractivamente, se va a la mierda.",non-sexist
18,Bien joder una puta alegría!! Te lo mereces pequeña #OTGala9,non-sexist
19,@ShimaTrek dijo que el acoso no es tan grave porque al menos no es violación ?????,non-sexist
20,Todo política... no se levanta la sesión y estos hijos de puta mandan a los peones que están en la plaza y provocar violencia... 15 policías heridos pero no pasa nada... si esos que están ahí son el pueblo... DIOS MIO el pueblo es mi vieja que se rompe el lomo laburando no ellos.,non-sexist
21,Casuso callate de una puta vez https://t.co/tWmjW1UFMM,non-sexist
22,@eduardoc60 @RuiDeAzevedo411 Rui si tu eres una perra enamorada,discredit
